기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20241,11620630,남현동,CS100010,커피-음료,24,2,1,14
20241,11620645,서원동,CS100010,커피-음료,39,5,3,26
20241,11620655,신원동,CS100010,커피-음료,27,7,2,4
20241,11620665,서림동,CS100010,커피-음료,37,5,4,3
20241,11620685,신사동,CS100010,커피-음료,53,6,5,7
20241,11620695,신림동,CS100010,커피-음료,62,13,8,31
20241,11620715,난향동,CS100010,커피-음료,8,0,0,2
20241,11620725,조원동,CS100010,커피-음료,52,8,3,12
20241,11620735,대학동,CS100010,커피-음료,55,1,1,17
20241,11620745,삼성동,CS100010,커피-음료,7,0,0,1
20241,11620765,미성동,CS100010,커피-음료,32,2,1,10
20241,11620775,난곡동,CS100010,커피-음료,15,0,0,6
20241,11650510,서초1동,CS100010,커피-음료,98,18,7,42
20241,11650520,서초2동,CS100010,커피-음료,101,6,7,32
20241,11650530,서초3동,CS100010,커피-음료,177,12,8,53
20241,11650531,서초4동,CS100010,커피-음료,54,2,5,38
20241,11650540,잠원동,CS100010,커피-음료,53,4,3,16
20241,11650550,반포본동,CS100010,커피-음료,10,1,0,3
20241,11650560,반포1동,CS100010,커피-음료,68,6,0,18
20241,11650570,반포2동,CS100010,커피-음료,16,3,1,2
20241,11650580,반포3동,CS100010,커피-음료,12,2,0,8
20241,11650581,반포4동,CS100010,커피-음료,64,3,4,33
20241,11650590,방배본동,CS100010,커피-음료,52,2,1,10
20241,11650600,방배1동,CS100010,커피-음료,54,2,1,14
20241,11650610,방배2동,CS100010,커피-음료,68,4,5,12
20241,11650620,방배3동,CS100010,커피-음료,29,0,2,4
20241,11650621,방배4동,CS100010,커피-음료,68,2,1,11
20241,11650651,양재1동,CS100010,커피-음료,126,10,5,31
20241,11650652,양재2동,CS100010,커피-음료,137,5,5,30
20241,11650660,내곡동,CS100010,커피-음료,28,2,1,7
20241,11680510,신사동,CS100010,커피-음료,171,3,10,41
20241,11680521,논현1동,CS100010,커피-음료,160,8,5,45
20241,11680531,논현2동,CS100010,커피-음료,160,12,7,56
20241,11680545,압구정동,CS100010,커피-음료,158,13,6,43
20241,11680565,청담동,CS100010,커피-음료,116,5,2,23
20241,11680580,삼성1동,CS100010,커피-음료,110,1,2,46
