기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20243,11200615,금호2·3가동,CS100010,커피-음료,290796577,42719,196906573,93890004,34317027,39185093,43227966,35283523,44892964,49184259,44705745,854692,33029283,93211574,74507152,68341035,20852841,118136443,163543333,3026077,37688581,69389374,64583831,59694073,47297838,29483,13236,5336,5809,6671,5315,6352,6696,6540,50,6648,12958,10788,9237,3038,20316,21589,628,6264,10302,8950,8838,6919
20243,11200620,금호4가동,CS100010,커피-음료,156247115,17279,98854556,57392559,21949048,19338688,19108513,19229906,19228401,28586037,28806522,0,14235639,51871908,41979308,43044784,5115476,59891209,87194968,495031,20612167,29037570,39434145,34483709,23023555,11396,5883,2397,2227,2239,2283,2250,3049,2834,0,2107,5345,5087,4185,555,6870,9530,88,2652,3582,4529,3607,1942
20243,11200645,옥수동,CS100010,커피-음료,345571466,51287,228277181,117294285,46329126,43098735,46424276,45842379,46582665,60049305,57244980,0,66836424,111036685,93615217,68497154,5585986,137201600,182729073,3083057,45168396,110981562,66381521,55847615,38468525,35000,16287,7368,6470,7005,6801,7356,8233,8054,0,12016,15845,13331,9667,428,22814,26075,571,7108,16828,10183,8702,5496
20243,11200650,성수1가1동,CS100010,커피-음료,1085043290,147420,770473738,314569552,137259515,149170882,161764094,142751380,179527867,161988917,152580635,0,215873084,420693943,275976784,161545726,10953753,414963908,499169865,8006904,216140499,316673840,206181383,104854634,62276510,106073,41347,21934,20530,21080,20716,21813,20629,20718,0,39983,52676,34286,18661,1814,63194,73729,928,30701,50045,25432,18106,11709
20243,11200660,성수1가2동,CS100010,커피-음료,6179356141,572982,4335758213,1843597928,828080158,774994160,866417941,878655821,987610133,998260370,845337558,23377150,588104791,2159964935,1815766887,1401842501,190299877,2069890807,3281209055,48614689,1509473862,1879944304,988991162,650620895,273454954,419183,153799,82144,77070,83178,83331,93460,82200,71599,622,98673,197772,151588,114392,9935,221546,307309,5293,148245,191078,95011,61320,27912
20243,11200670,성수2가1동,CS100010,커피-음료,2903232185,374370,2087155370,816076815,416895071,377904381,388249341,424365769,479740808,459316046,356760769,8377641,356095378,979825257,872224740,595417607,91291562,1186711485,1427851421,34032134,818885697,895591580,425515684,312263498,128274320,296436,77934,61956,56588,56819,57414,63659,44777,33157,396,82968,131529,95386,57100,6991,187157,162888,3169,95177,134210,57457,43350,16679
20243,11200690,성수2가3동,CS100010,커피-음료,4903217404,664265,3927450465,975766939,776381530,728846621,764136492,786100617,871985205,531154388,444612551,4385276,1005999300,1766347749,1178243139,877830124,70411816,1853422668,2348114354,55863317,1300532509,1358223383,716427742,564591723,205898341,559596,104669,113879,106062,109202,111202,119251,57516,47153,105,210825,229785,131135,85585,6830,296756,310420,5743,173929,212856,104303,81118,29229
20243,11200720,송정동,CS100010,커피-음료,96272135,21127,69305454,26966681,14402109,13263072,13643293,13777615,14219365,14415448,12551233,0,10967032,37643593,25019088,19085013,3557409,55843951,33865675,511149,20842698,28512818,15398673,13447579,10996708,15199,5928,3265,2884,2990,3012,3048,3129,2799,0,3532,7270,5219,4341,765,13124,7239,123,4821,6417,3448,3060,2494
20243,11200790,용답동,CS100010,커피-음료,644439726,105830,494067276,150372450,90526605,107116932,99338620,93553406,103531713,80390514,69981936,0,108322848,260104858,164998665,100845542,10167813,315486574,249986347,1521644,116234995,161083434,99241389,117730400,69661057,79235,26595,15238,15543,16024,15558,16872,14433,12162,0,22851,37365,25125,18175,2314,56553,41311,297,21785,27439,16959,19688,11697
20243,11215710,화양동,CS100010,커피-음료,5518302739,762325,3801362170,1716940569,739828297,696656937,765556329,778423941,820896666,963081295,753859274,71017337,586574785,1194493868,1356793038,1702346337,607077374,2053879221,3212277568,192371625,2447100382,1194216246,628793053,608704877,194970600,547686,214639,109100,101438,109653,110609,116886,119691,94948,9271,129106,178941,180217,200342,64448,302908,444002,23906,337283,178691,90711,87932,28394
20243,11215730,군자동,CS100010,커피-음료,1185703168,196317,870820895,314882273,172801109,165790660,169139551,167357424,195732151,172820207,142062066,9261184,172046279,404727319,303237274,255718643,40712469,547637824,568785838,19071199,393523233,286682552,150380455,190018882,76747341,152952,43365,32138,29401,30253,30059,31101,24086,19279,106,39761,68091,49779,34788,3792,96231,94943,3902,76613,46114,22502,31362,10679
20243,11215740,중곡1동,CS100010,커피-음료,242982302,33804,178774113,64208189,34200564,34297427,34795084,35759718,39721320,35100426,29107763,0,34521569,84781261,61174397,56652950,5852125,115683330,117045620,369760,39844719,66656398,44088776,39371522,42397774,26076,7728,5106,4846,5057,5262,5805,4551,3177,0,6421,11673,8617,6467,626,14570,17583,81,6852,10684,6905,4105,3527
20243,11215750,중곡2동,CS100010,커피-음료,378912172,46789,252631706,126280466,46563740,49291015,51782028,50125477,54869446,64584719,61695747,1582130,35794710,112650826,101764638,109286199,17833669,155657413,213653878,1345181,85569304,113841104,60541250,56696182,51318264,32000,14789,5883,6295,6359,6544,6919,7838,6951,26,6213,14816,12451,11785,1498,19702,26238,171,10670,14850,7982,7279,4987
20243,11215760,중곡3동,CS100010,커피-음료,707303068,124945,543589212,163713856,105029676,106648219,116247882,104761063,110902372,83758574,79955282,612533,166261688,249165457,155695597,118732112,16835681,286499325,353255828,4363804,118015569,184841873,159504061,117261063,55768785,95165,29780,18886,18469,19883,18633,19294,16014,13766,71,31134,41303,27169,21839,3429,56217,65968,813,22003,36563,30290,21892,10624
